"Date","No.","Description","Debit","Credit"
"3/7/2018","","CAPITAL ONE AUTO CARPAY 006206175051197","-274.5000",""
"3/7/2018","","BARCLAYCARD US CREDITCARD 524730174","-50.0000",""
"3/7/2018","","Credit One Bank Payment 0000250276995","-50.0000",""
"3/7/2018","","Credit One Bank Payment 0000250276598","-50.0000",""
"3/7/2018","","DISCOVER E-PAYMENT 9459","-40.0000",""
"3/7/2018","","8912 POS PUR 03/05 02:42 BLS*OZ-CODE97254 LONDON GB 00000000 008912 ~7372","-10.0300",""
"3/7/2018","","124884 PIN PUR 03/07 08:02 SUNOCO 036301420 PITTSBURGH PA 41897701 12488~5541","-6.4000",""
"3/6/2018","0000000591","Check","-675.0000",""
"3/6/2018","","COMENITY PAY UR WEB PYMT P18062156920542","-60.0000",""
"3/6/2018","","PAYPAL INST XFER DROPBOX","-9.9900",""
"3/5/2018","","BARCLAYCARD US CREDITCARD 523909367","-300.0000",""
"3/5/2018","","77134 POS PUR 03/04 04:13 GIANT-EAGLE #002 PITTSBURGH PA 00000000 07713~5411","-139.4500",""
"3/5/2018","","PAYPAL ECHECK 4MK22AEDTJMDG","-100.0000",""
"3/5/2018","","33676 POS PUR 03/03 01:03 IHOP 3238 PITTSBURGH PA 00000000 033676 ~5812","-75.4200",""
"3/5/2018","","TARGET CARD SRVC BILL PAY 000000006309313","-75.0000",""
"3/5/2018","","27047 POS PUR 03/03 02:46 TARGET 00 PITTSBURGH PA 172 027047 ~5310","-74.6400",""
"3/5/2018","","CAPITAL ONE MOBILE PMT 806139809454365","-60.0000",""
"3/5/2018","","NTB ONLINE PMT 112581831158763","-60.0000",""
"3/5/2018","","BARCLAYCARD US CREDITCARD 523565502","-40.0000",""
"3/5/2018","","CAPITAL ONE MOBILE PMT 806139809454366","-20.0000",""
"3/5/2018","","33720 POS PUR 03/02 15:43 CARNEGIE MUSEUMS 412-622-3370 PA 00010037 033~7991","-12.5000",""
"3/5/2018","","PAYPAL INST XFER SPOTIFYUSAI","-10.6900",""
"3/5/2018","","36597 POS PUR 03/03 18:04 WALGREENS #9736 PITTSBURGH PA 00000000 036597~5912","-6.9300",""
"3/5/2018","","90007 POS PUR 03/03 07:24 TOYS R US #9215 PITTSBURGH PA 07242666 090007~5945","-2.3800",""
"3/5/2018","","89807 POS PUR 03/03 13:45 APL* ITUNES.COM/ 866-712-7753 CA 00000000 089~5735","-2.1200",""
"3/2/2018","","DEVELOPMENT DIME DIRECT DEP 932306022024MU9","","1918.1700"
"3/2/2018","","62027 RECURRING 03/01 20:47 IPY*Goldfish Wex 724-7998850 PA 00001000 0620~8299","-88.0000",""
"3/2/2018","","68439 POS PUR 03/02 16:39 SUBWAY 00 PITTSBURGH PA 001 068439 ~5814","-11.7600",""
"3/1/2018","","83942 POS PUR 02/27 16:57 FRANKS PIZZA CH PITTSBURGH PA 06783942 083942~5812","-62.2700",""
"3/1/2018","","PAYPAL INST XFER VEHICLE REG","-55.2500",""
"2/28/2018","","51716 POS PUR 02/27 06:54 THOMAS A WILL & 412-281-5110 PA LK829674 0517~8111","-237.0000",""
"2/28/2018","","AES STDNT LOAN PA3767191732B","-104.8400",""
"2/28/2018","","72739 RECURRING 02/27 16:23 LA FITNESS 949-255-7200 CA 00000000 072739 ~7997","-30.0000",""
"2/28/2018","","26731 POS PUR 02/27 17:22 PANERA BREAD #20 BRIDGEVILLE PA 00004324 0267~5812","-15.0900",""
"2/27/2018","","88896 POS PUR 02/26 04:06 DUQUESNE LIGHT P 412-393-7100 PA 00000000 088~4900","-252.5000",""
"2/27/2018","","WalMart CC WM EPAY 1528011518","-60.0000",""
"2/27/2018","","11262 POS PUR 02/26 03:52 TARGET 00 PITTSBURGH PA 171 011262 ~5310","-38.0700",""
"2/27/2018","","7481 POS PUR 02/27 05:55 APL* ITUNES.COM/ 866-712-7753 CA 00000000 007~5735","-28.8400",""
"2/27/2018","","0048 POS PUR 02/26 06:28 JERSEY MIKE'S 80 BRIDGEVILLE PA 00005517 0000~5814","-13.9700",""
"2/26/2018","","3737 POS PUR 02/24 08:14 APL* ITUNES.COM/ 866-712-7753 CA 00000000 003~5735","-55.6200",""
"2/26/2018","","5784 POS PUR 02/23 23:23 SHEETZ 00 PITTSBURGH PA 002 005784 ~5541","-34.6700",""
"2/26/2018","","50076 POS PUR 02/24 06:15 MOE'S SW GRILL # WEXFORD PA 00215815 050076 ~5814","-27.0900",""
"2/26/2018","","PAYPAL INST XFER MANNING PUB","-17.9900",""
"2/26/2018","","PAYPAL INST XFER STARBUCKS","-15.0000",""
"2/26/2018","","96606 POS PUR 02/25 13:01 SHEETZ 00 PITTSBURGH PA 003 096606 ~5541","-13.7000",""
"2/26/2018","","72874 POS PUR 02/24 07:33 SHEETZ 00 PITTSBURGH PA 001 072874 ~5541","-4.7900",""
"2/26/2018","","10010 POS PUR 02/23 23:44 MOES SOUTHWEST G BRIDGEVILLE PA 00532310 0100~5812","-3.6900",""
"2/23/2018","","55589 POS PUR 02/22 19:30 GIANT-EAGLE #002 Pittsburgh PA 25039000 24154~5411","-55.8100",""
"2/23/2018","","77004 POS PUR 02/22 10:03 BP#953429836191 PITTSBURGH PA 9534001 077004 ~5542","-47.7200",""
"2/23/2018","","82418 POS PUR 02/23 23:00 APL* ITUNES.COM/ 866-712-7753 CA 00000000 082~5735","-12.8300",""
"2/23/2018","","PAYPAL INST XFER TEAMROCKET","-10.0000",""
"2/22/2018","","72894 POS PUR 02/21 05:33 HELLO BISTRO 250 PITTSBURGH PA 44572894 07289~5812","-12.7900",""
"2/21/2018","","COMENITY PAY OH WEB PYMT P18048153077261","-60.0000",""
"2/21/2018","","PAYPAL INST XFER MANNING PUB","-17.9900",""
"2/21/2018","","23669 POS PUR 02/20 01:45 MOE'S ONLINE #93 olo.com PA 00007733 023669 ~5811","-12.4700",""
"2/20/2018","","88390 RECURRING 02/19 17:06 AT&T*BILL PAYMEN WWW.ATT.COM TX 0034 088390 ~4814","-226.5300",""
"2/20/2018","","33840 POS PUR 02/19 14:05 STATE FARM INSUR 800-956-6310 IL 0001 033840 ~6300","-134.3200",""
"2/20/2018","","12111 POS PUR 02/17 16:19 DICKS SPORTING G PITTSBURGH PA 11420014 01211~5941","-129.9900",""
"2/20/2018","","90008 POS PUR 02/18 23:59 ICHIBAN STEAKHOU WEXFORD PA 00486336 090008 ~5812","-100.0500",""
"2/20/2018","","PAYMENT FOR AMZ STORECARD 1522341632","-100.0000",""
"2/20/2018","","CAPITAL ONE MOBILE PMT 805039809553112","-100.0000",""
"2/20/2018","","Credit One Bank Payment 0000246348177","-80.0000",""
"2/20/2018","","Credit One Bank Payment 0000246337017","-65.0000",""
"2/20/2018","","83066 POS PUR 02/18 10:11 Amazon.com AMZN.COM/BILL WA 00000000 083066 ~5942","-55.5600",""
"2/20/2018","","46152 POS PUR 02/19 07:57 ERC 904-6450049 FL 00000000 046152 ~8931","-54.9500",""
"2/20/2018","","Old Navy CC OLDN EPAY 1519331795","-51.1300",""
"2/20/2018","","0173 POS PUR 02/18 21:37 SESAME INN NORTH PITTSBURGH PA 00000158 00017~5812","-41.4500",""
"2/20/2018","","54237 RECURRING 02/16 03:16 LA FITNESS 949-255-7200 CA 00000000 054237 ~7997","-29.9500",""
"2/20/2018","","97382 POS PUR 02/16 23:07 GAMESTOP #3321 BRIDGEVILLE PA 00000000 097382~7993","-26.7400",""
"2/20/2018","","71341 POS PUR 02/18 14:41 APL* ITUNES.COM/ 866-712-7753 CA 00000000 071~5735","-22.4500",""
"2/20/2018","","PAYPAL INST XFER STARBUCKS","-15.0000",""
"2/20/2018","","PAYPAL INST XFER NETFLIX.COM","-11.7600",""
"2/20/2018","","6925 POS PUR 02/18 12:36 MARKET DISTRICT Wexford PA 43038000 412309 ~5411","-8.5400",""
"2/20/2018","","2423 POS PUR 02/17 17:46 AMAZON MKTPLACE AMZN.COM/BILL WA 00000000 002~5942","-7.9900",""
"2/20/2018","","27865 POS PUR 02/17 20:44 MCDONALD'S F4354 PITTSBURGH PA 1 027865 ~5814","-7.7000",""
"2/20/2018","","95374 POS PUR 02/16 11:07 SUBWAY 00 BRIDGEVILLE PA 001 095374 ~5814","-7.2200",""
"2/20/2018","","PAYPAL INST XFER IGN ENT","-6.9500",""
"2/16/2018","","DEVELOPMENT DIME DIRECT DEP 935605922541MU9","","1919.0800"
"2/16/2018","","BARCLAYCARD US CREDITCARD 519745815","-100.0000",""
"2/16/2018","","85117 POS PUR 02/15 08:03 GIANT-EAGLE #002 PITTSBURGH PA 00000000 08511~5411","-89.4000",""
"2/16/2018","","32788 POS PUR 02/15 15:57 SUNOCO 036301420 PITTSBURGH PA 0363001 032788~5542","-47.4100",""
"2/16/2018","","97661 POS PUR 02/16 22:00 AMAZON MKTPLACE AMZN.COM/BILL WA 00000000 097~5942","-23.3400",""
"2/16/2018","","10047 POS PUR 02/15 01:07 MOES SOUTHWEST G BRIDGEVILLE PA 00532310 0100~5812","-11.5600",""
"2/15/2018","","BARCLAYCARD US CREDITCARD 519631832","-100.0000",""
"2/15/2018","","DISCOVER E-PAYMENT 9459","-80.0000",""
"2/15/2018","","PAYPAL INST XFER STARBUCKS","-25.0000",""
"2/15/2018","","7477 POS PUR 02/14 08:21 WALGREENS #9736 PITTSBURGH PA 00000000 007477~5912","-18.6600",""
"2/15/2018","","13368 POS PUR 02/14 17:52 STARBUCKS STORE PITTSBURGH PA 00000000 013368~5814","-15.0000",""
"2/14/2018","","IRS TREAS 310 TAX REF XXXXXXXXXXX0908","","2337.0000"
"2/14/2018","","SURCHARGE FEE 2134 ATM WTD 02/13 18:15 Cardtronics CCSW PITTSBURGH PA LK943720","-2.5000",""
"2/14/2018","","93101 POS PUR 02/14 13:44 AMZ*mophie.com 888-866-7443 WA 00000000 09310~7399","-119.9600",""
"2/14/2018","","2134 ATM WTD 02/13 18:15 Cardtronics CCSW PITTSBURGH PA LK943720 00297~6011","-40.0000",""
"2/14/2018","","20970 POS PUR 02/13 12:40 APL* ITUNES.COM/ 866-712-7753 CA 00000000 020~5735","-2.1200",""
"2/14/2018","","32689 POS PUR 02/13 15:18 APL* ITUNES.COM/ 866-712-7753 CA 00000000 032~5735","-0.9900",""
"2/14/2018","","FEE FOR ATM WTD 02/13 18:15 Cardtronics CCSW PITTSBURGH PA LK943720 00297~6011","-2.5000",""
"2/13/2018","","CAPITAL ONE AUTO CARPAY 006206175051197","-249.5000",""
"2/13/2018","","CAPITAL ONE MOBILE PMT 804339809385067","-25.0000",""
"2/13/2018","","10018 POS PUR 02/12 10:37 MOES SOUTHWEST G BRIDGEVILLE PA 00532310 0100~5812","-14.3900",""
"2/12/2018","","18706 POS PUR 02/11 12:43 GIANT-EAGLE #002 PITTSBURGH PA 00000000 01870~5411","-131.7700",""
"2/12/2018","","3142 POS PUR 02/09 22:38 MARATHON PETRO19 PITTSBURGH PA 01 003142 ~5542","-47.2100",""
