Date,No.,Description,Debit,Credit
8/30/2019,,DEVELOPMENT DIME DIRECT DEP 556070826339MU9,,2039.4200
8/30/2019,,AES STDNT LOAN PA3767191732B,-45.0800,
8/29/2019,,DISCOVER E-PAYMENT 9459,-43.0000,
8/28/2019,,60248 POS PUR 08/27 10:27 BLAZE PIZZA #132 BRIDGEVILLE PA 58260248 0602~5814,-11.4500,
8/28/2019,,58028 POS PUR 08/27 18:32 GIANT-EAGLE #005 Pittsburgh PA 52038100 83629~5411,-79.2100,
8/27/2019,,0013 POS PUR 08/26 00:45 MOE'S 938 BRIDGEVILLE PA 00A94759 000013 ~5814,-9.6300,
8/27/2019,,WalMart CC WM EPAY 1963873021,-50.0000,
8/26/2019,,4858 POS PUR 08/23 03:33 TWO BROTHERS BBQ PRESTO PA 00000000 004858 ~5812,-14.1200,
8/26/2019,,57364 POS PUR 08/23 04:20 SUNOCO 036301420 PITTSBURGH PA 0363001 057364~5541,-29.5900,
8/26/2019,,99840 POS PUR 08/24 20:25 STATE FARM INSU 800-956-6310 IL 0001 099840 ~6300,-120.0500,
8/26/2019,,92827 POS PUR 08/24 04:52 SUBWAY 00 PITTSBURGH PA 001 092827 ~5814,-13.8900,
8/26/2019,,31499 POS PUR 08/24 13:26 MCDONALD'S F1215 PITTSBURGH PA 1 031499 ~5814,-7.2600,
8/26/2019,,26340 POS PUR 08/25 21:49 DUNKIN #349047 Q PITTSBURGH PA 3490001 026340~5814,-2.5400,
8/26/2019,,19023 POS PUR 08/25 05:09 SUBWAY 00 PITTSBURGH PA 001 019023 ~5814,-8.7500,
8/26/2019,,74952 POS PUR 08/25 20:21 MCDONALD'S F1215 PITTSBURGH PA 1 074952 ~5814,-10.0300,
8/23/2019,,25546 RECURRING 08/21 02:29 AT&T*BILL PAYMEN WWW.ATT.COM TX 0034 025546 ~4814,-151.1200,
8/23/2019,,78775 POS PUR 08/22 19:13 HELLO BISTRO 250 UPPER SAINT C PA 42278775 07~5812,-14.4500,
8/23/2019,,6284 POS PUR 08/22 18:39 SUBWAY 00 PITTSBURGH PA 001 006284 ~5814,-14.8600,
8/22/2019,,43974 POS PUR 08/21 15:41 SUBWAY 00 PITTSBURGH PA 001 043974 ~5814,-7.4800,
8/22/2019,,33515 POS PUR 08/21 16:33 SUBWAY 00 PITTSBURGH PA 001 033515 ~5814,-7.4800,
8/21/2019,,74498 POS PUR 08/20 10:11 AMZN Mktp US*MA4 Amzn.com/bill WA 00000000 07~5942,-16.4400,
8/21/2019,,58660 POS PUR 08/20 11:33 BLAZE PIZZA #132 BRIDGEVILLE PA 60658660 0586~5814,-13.5900,
8/21/2019,,CAPITAL ONE MOBILE PMT 923239800150642,-92.0000,
8/21/2019,,CHASE CREDIT CRD EPAY 4262026927,-80.0000,
8/21/2019,,Credit One Bank Payment 0000362286330,-65.0000,
8/21/2019,,Credit One Bank Payment 0000362286211,-51.0000,
8/21/2019,,DISCOVER E-PAYMENT 9459,-42.0000,
8/21/2019,,Old Navy CC OLDN EPAY 1959196638,-35.0000,
8/20/2019,,0049 POS PUR 08/19 11:10 MOE'S 938 BRIDGEVILLE PA 00A94759 000049 ~5814,-12.8400,
8/20/2019,,LENDING CLUB 8885963157 T1085432070,-105.6800,
8/20/2019,,PAYMENT FOR AMZ STORECARD 1958004097,-66.0000,
8/20/2019,,COMENITY PAY OH WEB PYMT P19231297344273,-27.0000,
8/19/2019,,7588 POS PUR 08/15 22:34 HELLO BISTRO 250 UPPER SAINT C PA 43907588 00~5812,-14.4500,
8/19/2019,,47859 RECURRING 08/16 10:41 LA FITNESS 949-255-7200 CA 00000000 047859 ~7997,-29.9500,
8/19/2019,,55701 POS PUR 08/16 01:29 PETSMART # 3001 PITTSBURGH PA 00007847 055701~5995,-28.9900,
8/19/2019,,57201 POS PUR 08/16 01:21 PETSMART # 3001 PITTSBURGH PA 00007847 057201~5995,-14.9000,
8/19/2019,,57501 POS PUR 08/16 01:57 PETSMART # 3001 PITTSBURGH PA 00007847 057501~5995,-22.4000,
8/19/2019,,55090 POS PUR 08/16 21:03 SUNOCO 036301420 PITTSBURGH PA 0363001 055090~5542,-49.4900,
8/19/2019,,43884 POS PUR 08/17 01:51 SUBWAY 00 PITTSBURGH PA 001 043884 ~5814,-7.4800,
8/19/2019,,10067 POS PUR 08/17 22:24 MCDONALD'S F1215 PITTSBURGH PA 1 010067 ~5814,-3.6300,
8/19/2019,,56649 POS PUR 08/19 01:00 COMCAST THREE CS 800-266-2278 PA 00000000 056~4899,-108.8600,
8/19/2019,,5132 POS PUR 08/18 07:53 SUBWAY 00 PITTSBURGH PA 001 005132 ~5814,-7.4800,
8/19/2019,,56378 POS PUR 08/18 03:23 MCDONALD'S F1215 PITTSBURGH PA 1 056378 ~5814,-7.2600,
8/19/2019,,PAYPAL INST XFER NETFLIX.COM,-13.9000,
8/19/2019,,PAYPAL INST XFER SUBWAY,-8.5500,
8/19/2019,,NINTENDO IAT PAYPAL 1006366809956,-4.2300,
